,Unnamed: 0,key,prefix,number,suffix,title,description,minimum credits,maximum credits,other,credit_category,text,cluster
8672,8672,THEA 424,THEA,424,,Musical Theatre Performance IV,"Studio training in the unique performance skills, repertoire and business of professional musical theatre.  THEA 424 Musical Theatre Performance IV (2) (BA) This course meets the Bachelor of Arts degree requirements.This studio is designed for senior musical theatre majors to hone their skills in acting, singing, and dancing in the last semester of their college career. The majority of the class will be the preparation of the Senior New York Showcase where each student will have the opportunity to perform for an invited audience of agents, alumni, and special guests. Students are responsible for all research and preparation of showcase material. Showcase material will be coached in class, but the main body of preparation relies on the students themselves, utilizing skills and techniques learned throughout their studio training. Grading will be based on attendance, preparation, and attitude. These are all critical factors for entering the profession and for successfully completing this course. Deadlines and appointments must be kept. Students must do adequate outside preparation. THEA 424 is a continuation of Musical Theatre Performance III. These studios represent the core of the musical theatre training program.",2,2,Prerequisite:  THEA 423,Low,"Musical Theatre Performance IV Studio training in the unique performance skills, repertoire and business of professional musical theatre.  THEA 424 Musical Theatre Performance IV (2) (BA) This course meets the Bachelor of Arts degree requirements.This studio is designed for senior musical theatre majors to hone their skills in acting, singing, and dancing in the last semester of their college career. The majority of the class will be the preparation of the Senior New York Showcase where each student will have the opportunity to perform for an invited audience of agents, alumni, and special guests. Students are responsible for all research and preparation of showcase material. Showcase material will be coached in class, but the main body of preparation relies on the students themselves, utilizing skills and techniques learned throughout their studio training. Grading will be based on attendance, preparation, and attitude. These are all critical factors for entering the profession and for successfully completing this course. Deadlines and appointments must be kept. Students must do adequate outside preparation. THEA 424 is a continuation of Musical Theatre Performance III. These studios represent the core of the musical theatre training program.",0
8673,8673,THEA 425A,THEA,425,A,B.F.A. Acting Studio II,"Scene Study  THEA 425A B.F.A. Acting Studio II (2)THEA 425A is a laboratory or practicum course requiring active student presentation of work in progress for critiques by the instructor and input from peers. Working in pairs, students will be assigned a five-minute scene from modern American realism. Students must read the play from which the assigned scene is taken, do the necessary historical/analytical homework, develop a character biography and a scene score, and present the result of their work in the initial on-the-feet working sessions for faculty critique and peer input. Taking away responses from each working session, the students are expected to rehearse outside of class to address any issues raised in the previous working session and to ready the scene for the next viewing. In THEA 425A, the instructor will serve, not as a director, but as an acting coach, asking probing questions and using his or her own energy to exhort, guide, and discipline the students, It is expected that faculty intervention will decrease and student self-reliance will increase with each passing studio.",2,2,"Prerequisite: THEA 115, THEA 225A; CONCURRENTS: THEA 425C",Low,"B.F.A. Acting Studio II Scene Study  THEA 425A B.F.A. Acting Studio II (2)THEA 425A is a laboratory or practicum course requiring active student presentation of work in progress for critiques by the instructor and input from peers. Working in pairs, students will be assigned a five-minute scene from modern American realism. Students must read the play from which the assigned scene is taken, do the necessary historical/analytical homework, develop a character biography and a scene score, and present the result of their work in the initial on-the-feet working sessions for faculty critique and peer input. Taking away responses from each working session, the students are expected to rehearse outside of class to address any issues raised in the previous working session and to ready the scene for the next viewing. In THEA 425A, the instructor will serve, not as a director, but as an acting coach, asking probing questions and using his or her own energy to exhort, guide, and discipline the students, It is expected that faculty intervention will decrease and student self-reliance will increase with each passing studio.",7
8674,8674,THEA 425C,THEA,425,C,B.F.A. Voice/Speech Studio II,"Advanced voice and speech training for BFA Musical Theatre students.  THEA 425C B.F.A. Voice/Speech Studio II (2)In THEA 425C, B.F.A. Musical Theatre students will continue to develop and expand their vocal instrument. Basics of vocal production will be repeated and developed with a greater focus on the individual actor's application of his/her voice in the performance of various texts. The first ten weeks will recall the basics of the past two semesters of voice/speech work and continue to expand the actors' capabilities. Extended work in the area of breath support and release, resonance and vocal range, and speech/articulation will all be explored with appropriate texts. In the last five weeks of the semester, work will focus on text in the performance setting. A short program of text performances will be devised and presented in the last week of class.",2,2,Prerequisite: THEA 225C; THEA 425A,Low,"B.F.A. Voice/Speech Studio II Advanced voice and speech training for BFA Musical Theatre students.  THEA 425C B.F.A. Voice/Speech Studio II (2)In THEA 425C, B.F.A. Musical Theatre students will continue to develop and expand their vocal instrument. Basics of vocal production will be repeated and developed with a greater focus on the individual actor's application of his/her voice in the performance of various texts. The first ten weeks will recall the basics of the past two semesters of voice/speech work and continue to expand the actors' capabilities. Extended work in the area of breath support and release, resonance and vocal range, and speech/articulation will all be explored with appropriate texts. In the last five weeks of the semester, work will focus on text in the performance setting. A short program of text performances will be devised and presented in the last week of class.",3
8675,8675,THEA 427A,THEA,427,A,B.F.A. Acting Studio III,"Continuation of THEA 425A THEA 427A B.F.A. Acting Studio III (2)THEA 427A is an extension of THEA 425A, a laboratory or practicum course requiring active student presentation of work in progress for critiques by the instructor and input from peers. Working in pairs, students will be assigned a five-minute scene from modern American realism. Students must read the play from which the assigned scene is taken, do the necessary historical/analytical homework, develop a character biography and a scene score, and present the result of their work in the initial 'on-the-feet' working sessions for faculty critique and peer input. Taking away responses from each working session, the students are expected to rehearse outside of class to address any issues raised in the previous working session and to ready the scene for the next viewing. In THEA 427A, the instructor will serve, not as a director, but as an acting coach, asking probing questions and using his or her own energy to exhort, guide, and discipline the students. It is expected that faculty intervention will decrease and student self-reliance will increase with each passing studio.",2,2,Prerequisite: THEA 425A; THEA 427C,Low,"B.F.A. Acting Studio III Continuation of THEA 425A THEA 427A B.F.A. Acting Studio III (2)THEA 427A is an extension of THEA 425A, a laboratory or practicum course requiring active student presentation of work in progress for critiques by the instructor and input from peers. Working in pairs, students will be assigned a five-minute scene from modern American realism. Students must read the play from which the assigned scene is taken, do the necessary historical/analytical homework, develop a character biography and a scene score, and present the result of their work in the initial 'on-the-feet' working sessions for faculty critique and peer input. Taking away responses from each working session, the students are expected to rehearse outside of class to address any issues raised in the previous working session and to ready the scene for the next viewing. In THEA 427A, the instructor will serve, not as a director, but as an acting coach, asking probing questions and using his or her own energy to exhort, guide, and discipline the students. It is expected that faculty intervention will decrease and student self-reliance will increase with each passing studio.",7
8676,8676,THEA 427C,THEA,427,C,B.F.A. Voice/Speech Studio III,"Stage Dialect Studies  THEA 427C B.F.A. Voice/Speech Studio IV (2)THEA 427C focuses on the acquisition of stage dialects and accents. For each dialect the student becomes aware of the resonance, phonetic, inflection, and rhythm changes necessary to perform dramatic text with an accent or dialect. Vocal agility, phonetic recall and the ability to integrate the altered vocal behavior to the demands of acting are the primary goals. Each dialect unit will have an introductory instruction, a review session, and a presentation of a reading of a dialect monologue. The final project will be the performance of two dialect monologues. Students will be evaluated upon preparedness, work ethic, focus, openness to change, growth, degree of self-reliant recall, and creative application of new skills. This studio performance class offers opportunity for assessment from the instructor in each class session. Periodic assignments will be made to assess self-reliant application of the work.",2,2,Prerequisite: THEA 425C; THEA 427A,Low,"B.F.A. Voice/Speech Studio III Stage Dialect Studies  THEA 427C B.F.A. Voice/Speech Studio IV (2)THEA 427C focuses on the acquisition of stage dialects and accents. For each dialect the student becomes aware of the resonance, phonetic, inflection, and rhythm changes necessary to perform dramatic text with an accent or dialect. Vocal agility, phonetic recall and the ability to integrate the altered vocal behavior to the demands of acting are the primary goals. Each dialect unit will have an introductory instruction, a review session, and a presentation of a reading of a dialect monologue. The final project will be the performance of two dialect monologues. Students will be evaluated upon preparedness, work ethic, focus, openness to change, growth, degree of self-reliant recall, and creative application of new skills. This studio performance class offers opportunity for assessment from the instructor in each class session. Periodic assignments will be made to assess self-reliant application of the work.",3
8677,8677,THEA 427H,THEA,427,H,Theatre Makeup,"Advanced makeup techniques, casting with moulage and rubber, construction of prosthetics, hair work.",2,2,,Low,"Theatre Makeup Advanced makeup techniques, casting with moulage and rubber, construction of prosthetics, hair work.",1
8678,8678,THEA 428,THEA,428,,Musical Theatre Performance Studio V,Students will prepare and present workshop reading of a new musical theatre piece,2,2,Prerequisite: THEA 224,Low,Musical Theatre Performance Studio V Students will prepare and present workshop reading of a new musical theatre piece,1
8679,8679,THEA 429,THEA,429,,Theatre Performance Practicum,Supervised experience in rehearsal and performance of significant roles.,1,3,Prerequisites: THEA 100; THEA 105; THEA 106; DANCE 100,Low,Theatre Performance Practicum Supervised experience in rehearsal and performance of significant roles.,1
8680,8680,THEA 434,THEA,434,,Introduction to Directing,Introduction to principles and procedures of play direction.,3,3,Prerequisites: THEA 100; THEA 105; THEA 106; THEA 112; DANCE 100,Standard,Introduction to Directing Introduction to principles and procedures of play direction.,4
8681,8681,THEA 434H,THEA,434,H,Introduction to Directing,Introduction to principles and procedures of play direction.,3,3,Bachelor of Arts: ArtsHonors,Standard,Introduction to Directing Introduction to principles and procedures of play direction.,4
8682,8682,THEA 436,THEA,436,,Directorial Processes,"Preparing a play for production including the scoring of thescript, developing ground plan, casting, and staging projects in American realism.",3,3,Prerequisite: THEA 434; or THEA_MFA,Standard,"Directorial Processes Preparing a play for production including the scoring of thescript, developing ground plan, casting, and staging projects in American realism.",1
8683,8683,THEA 437,THEA,437,,Artistic Staff for Production,"To provide students with experience in choreography, dramaturgy, combat, staging, voice/speech, musical direction, assisting in direction, for major productions.",1,6,Prerequisite:  approval of the proposed assignment by the instructor prior to   registration,Low,"Artistic Staff for Production To provide students with experience in choreography, dramaturgy, combat, staging, voice/speech, musical direction, assisting in direction, for major productions.",1
8684,8684,THEA 440,THEA,440,,Principles of Playwriting,"Structure, dramatic effect, characterization, and dialogue; the writing, reading, and criticism of original one-act plays.  THEA 440 Principles of Playwriting (3 per semester/maximum of 6)(BA) This course meets the Bachelor of Arts degree requirements. THEA 440 is a course in which students are allowed to explore, deepen, and exercise their understanding of the craft of playwriting. This course is repeatable and taught by one instructor. This course utilizes diverse critical commentary, craft-based texts, and plays that elaborate and illustrate the core writing techniques of structure, dramatic effect, characterization, and dialogue.The writing requirement of the class concentrates on the construction of several ten-minute plays, which are shared in the class as works-in-progress.The students engage with giving and getting constructive criticism inside a safe and nurturing space, and the students work towards articulating and exercising the technical aspects of writing in a clear, concise, and effective manner.",3,3,Prerequisites: THEA 100; THEA 105; THEA 106; THEA 112; DANCE 100,Standard,"Principles of Playwriting Structure, dramatic effect, characterization, and dialogue; the writing, reading, and criticism of original one-act plays.  THEA 440 Principles of Playwriting (3 per semester/maximum of 6)(BA) This course meets the Bachelor of Arts degree requirements. THEA 440 is a course in which students are allowed to explore, deepen, and exercise their understanding of the craft of playwriting. This course is repeatable and taught by one instructor. This course utilizes diverse critical commentary, craft-based texts, and plays that elaborate and illustrate the core writing techniques of structure, dramatic effect, characterization, and dialogue.The writing requirement of the class concentrates on the construction of several ten-minute plays, which are shared in the class as works-in-progress.The students engage with giving and getting constructive criticism inside a safe and nurturing space, and the students work towards articulating and exercising the technical aspects of writing in a clear, concise, and effective manner.",0
8685,8685,THEA 447,THEA,447,,Make-Up Design for Production,"Materials, research, preparation, design, execution of make-up for major University Theatre productions.",1,6,Prerequisite:  approval of proposed assignment by the instructor prior to   registration,Low,"Make-Up Design for Production Materials, research, preparation, design, execution of make-up for major University Theatre productions.",1
8686,8686,THEA 450,THEA,450,,Advanced Topics in Scene Design,"Design emphasis on a variety of production techniques, genre, and styles.  THEA 450 Advanced Topics in Scene Design (3 per semester/maximum of 6)(BA) This course meets the Bachelor of Arts degree requirements. This course will build upon the basic design process introduced in THEA 250. Students will explore design solutions for shows requiring multiple locals. Students will also be introduced to shows reflecting a variety of dramatic styles and will explore effective design solutions within stylistic constraints. In addition to previously introduced graphic skills, emphasis will be placed on graphic techniques involved in the production of scenery, including design drafting, prop drawings, and paint elevations.As this course may be repeated, there will be a rotation of topics to ensure that students receive different content each semester. Topics within the rotation may include: Design for Shakespeare, unit settings Design for Musicals, practical and stylistic concerns Design for Opera Design for shows requiring simultaneous local Poetic or fragmented realism Design for contemporary episodic scripts Epic theatre design",3,3,Prerequisite:  THEA 250 or portfolio review,Standard,"Advanced Topics in Scene Design Design emphasis on a variety of production techniques, genre, and styles.  THEA 450 Advanced Topics in Scene Design (3 per semester/maximum of 6)(BA) This course meets the Bachelor of Arts degree requirements. This course will build upon the basic design process introduced in THEA 250. Students will explore design solutions for shows requiring multiple locals. Students will also be introduced to shows reflecting a variety of dramatic styles and will explore effective design solutions within stylistic constraints. In addition to previously introduced graphic skills, emphasis will be placed on graphic techniques involved in the production of scenery, including design drafting, prop drawings, and paint elevations.As this course may be repeated, there will be a rotation of topics to ensure that students receive different content each semester. Topics within the rotation may include: Design for Shakespeare, unit settings Design for Musicals, practical and stylistic concerns Design for Opera Design for shows requiring simultaneous local Poetic or fragmented realism Design for contemporary episodic scripts Epic theatre design",0
8687,8687,THEA 451,THEA,451,,"Drafting, Drawing, and Painting for the Theatre","Drafting, freehand drawing including perspective methods and property development, rendering techniques, and painters' elevations.",1,1,"Prerequisite: THEA 251, THEA 252 or THEA_MFA",Low,"Drafting, Drawing, and Painting for the Theatre Drafting, freehand drawing including perspective methods and property development, rendering techniques, and painters' elevations.",1
8688,8688,THEA 453,THEA,453,,Advanced Scene Painting,"Practicum study in painting techniques currently in professional use. Exploration of tools, available paints, and texturing materials.",1,3,Prerequisite: THEA 253; or THEA_MFA,Low,"Advanced Scene Painting Practicum study in painting techniques currently in professional use. Exploration of tools, available paints, and texturing materials.",1
8689,8689,THEA 454,THEA,454,,Period Research for the Theatre,"History of decor, styles, and movements in art and architecture.",3,3,Prerequisite: THEA 250; THEA 260; THEA 270; THEA 280; THEA 285; or THEA_MFA,Standard,"Period Research for the Theatre History of decor, styles, and movements in art and architecture.",1
8690,8690,THEA 456,THEA,456,,Scenic Projects for Production,"Special projects for production; painting, properties, design assistance.",1,1,Prerequisite:  approval of proposed projects by instructor prior to   registration,Low,"Scenic Projects for Production Special projects for production; painting, properties, design assistance.",1
8691,8691,THEA 457,THEA,457,,Scene Design for Production,Design and execution of production projects.,1,1,Prerequisite:  approval of proposed project by instructor prior to   registration,Low,Scene Design for Production Design and execution of production projects.,1
8692,8692,THEA 458,THEA,458,,Digital Imaging for the Theatre,"Introduction to imaging software and its application in theatrical design and production.  THEA 458 Digital Imaging for the Theatre (1) This course will provide students with an introduction to digital imaging software and explore the use of this software in the theatrical design and production process. An introduction to Photoshop or similar programs will make up the first part of the course. As part of the introduction to software, course time will be devoted to image acquisition using techniques such as Web based research, scanning, and use of the digital camera. The remainder of the course will focus on applying imaging software to the process of evolving and presenting designs for scenery, costumes, and lighting. Design presentation will include output of images for applications such as projection, Web pages, and both large and small-scale printing.Students will execute a number of projects that will be turned in digitally to the instructor. Each project will have a specific objective and the grade will be outlined in a comment sheet.",1,1,Prerequisite:  Design or Visual Arts major or permission of program,Low,"Digital Imaging for the Theatre Introduction to imaging software and its application in theatrical design and production.  THEA 458 Digital Imaging for the Theatre (1) This course will provide students with an introduction to digital imaging software and explore the use of this software in the theatrical design and production process. An introduction to Photoshop or similar programs will make up the first part of the course. As part of the introduction to software, course time will be devoted to image acquisition using techniques such as Web based research, scanning, and use of the digital camera. The remainder of the course will focus on applying imaging software to the process of evolving and presenting designs for scenery, costumes, and lighting. Design presentation will include output of images for applications such as projection, Web pages, and both large and small-scale printing.Students will execute a number of projects that will be turned in digitally to the instructor. Each project will have a specific objective and the grade will be outlined in a comment sheet.",3
8693,8693,THEA 459,THEA,459,,Theatre Portfolio & Business Practices,"Life as a professional theatre designer.  Contracts, taxes, record-keeping, resumes, portfolios, interviewing, job hunting, and legal considerations.  THEA 459 Theatre Portfolio & Business Practices (2) (BA) This course meets the Bachelor of Arts degree requirements.This course is designed to prepare the student of design for life as a professional theatre designer. There are many challenges to working in the business of design, arising primarily from the fact that most theatre designers are self-employed. It's not enough to be a talented designer; one must also be a savvy business person. Contracts, taxes, recordkeeping, resumes, portfolios, interviewing, job hunting, and legal considerations will all be addressed, as they relate to life as a freelance designer. Special attention will be paid to the assembly of a professional portfolio, which is the centerpiece of any designers' work.",2,2,Prerequisite: THEA 450; THEA 460; THEA 470; THEA 480; THEA 485,Low,"Theatre Portfolio & Business Practices Life as a professional theatre designer.  Contracts, taxes, record-keeping, resumes, portfolios, interviewing, job hunting, and legal considerations.  THEA 459 Theatre Portfolio & Business Practices (2) (BA) This course meets the Bachelor of Arts degree requirements.This course is designed to prepare the student of design for life as a professional theatre designer. There are many challenges to working in the business of design, arising primarily from the fact that most theatre designers are self-employed. It's not enough to be a talented designer; one must also be a savvy business person. Contracts, taxes, recordkeeping, resumes, portfolios, interviewing, job hunting, and legal considerations will all be addressed, as they relate to life as a freelance designer. Special attention will be paid to the assembly of a professional portfolio, which is the centerpiece of any designers' work.",0
8694,8694,THEA 460,THEA,460,,Advanced Topics in Costume Design,"Developing and executing a design concept in a variety of the performing arts.  THEA 460 Advanced Topics in Costume Design (3 per semester/maximum of 6) (BA) This course meets the Bachelor of Arts degree requirements.THEA 460 places emphasis on the use of text analysis and extensive historical research to make artistic choices as a costume designer in a production of a classical play, opera, or dance. Plays of this sort are of a size and scope not often found in contemporary material, which places exceptional demands on a designer. This course investigates the manner in which the theatrical imagination can be liberated to fulfill the particular requirements of classic theatre, opera, and dance. The course will require several large-scale projects that reinforce the costume design process in a variety of the performing arts. Each area of work within a project is separately graded. These projects will contain written segment components such as a design statement or character analysis, an oral presentation or explanation of the designer's choices and process, and (where applicable) a demonstration of the fully realized costume renderings. The student is expected to master the process that takes a costume designer from reading a script (or listening to a piece of music) to the creation of a design concept to the visual presentation of renderings from which clothing can be constructed. Particular emphasis is placed on developing the oral presentation skills necessary to communication with the director and other theatre artists.",3,3,Prerequisite: THEA 260; THEA 464,Standard,"Advanced Topics in Costume Design Developing and executing a design concept in a variety of the performing arts.  THEA 460 Advanced Topics in Costume Design (3 per semester/maximum of 6) (BA) This course meets the Bachelor of Arts degree requirements.THEA 460 places emphasis on the use of text analysis and extensive historical research to make artistic choices as a costume designer in a production of a classical play, opera, or dance. Plays of this sort are of a size and scope not often found in contemporary material, which places exceptional demands on a designer. This course investigates the manner in which the theatrical imagination can be liberated to fulfill the particular requirements of classic theatre, opera, and dance. The course will require several large-scale projects that reinforce the costume design process in a variety of the performing arts. Each area of work within a project is separately graded. These projects will contain written segment components such as a design statement or character analysis, an oral presentation or explanation of the designer's choices and process, and (where applicable) a demonstration of the fully realized costume renderings. The student is expected to master the process that takes a costume designer from reading a script (or listening to a piece of music) to the creation of a design concept to the visual presentation of renderings from which clothing can be constructed. Particular emphasis is placed on developing the oral presentation skills necessary to communication with the director and other theatre artists.",0
8695,8695,THEA 461,THEA,461,,Advanced Topics in Costume Construction and Technology,"A specialized course in advanced costume construction techniques and theatrical costume technologies.  THEA 461 Advanced Topics in Costume Construction and Technology (3 per semester/maximum of 6) (BA) This course meets the Bachelor of Arts degree requirements.THEA 461 addresses the skills and techniques of theatrical costume construction necessary for the undergraduate student to understand and master in preparation for work within a professional costume setting. Emphasis is placed upon the creation of an historic silhouette as illustrated by a theatrical costume rendering for both men and women, with an eye to theatrical execution. Focus is placed on the production of clothing, as well as the creation of theatrical properties and accessories for the historic figure. The course will require several large-scale projects that reinforce the costume construction process in a variety of historic eras. Each area of work within a project is separately graded. These projects will contain supporting research and examine the understanding and identification of construction and accessory techniques as manifested in the costume rendering. A student's approach to problem solving, personal process, communication skills, and successful time management will also be addressed.",3,3,Prerequisite:  THEA 261,Standard,"Advanced Topics in Costume Construction and Technology A specialized course in advanced costume construction techniques and theatrical costume technologies.  THEA 461 Advanced Topics in Costume Construction and Technology (3 per semester/maximum of 6) (BA) This course meets the Bachelor of Arts degree requirements.THEA 461 addresses the skills and techniques of theatrical costume construction necessary for the undergraduate student to understand and master in preparation for work within a professional costume setting. Emphasis is placed upon the creation of an historic silhouette as illustrated by a theatrical costume rendering for both men and women, with an eye to theatrical execution. Focus is placed on the production of clothing, as well as the creation of theatrical properties and accessories for the historic figure. The course will require several large-scale projects that reinforce the costume construction process in a variety of historic eras. Each area of work within a project is separately graded. These projects will contain supporting research and examine the understanding and identification of construction and accessory techniques as manifested in the costume rendering. A student's approach to problem solving, personal process, communication skills, and successful time management will also be addressed.",0
8696,8696,THEA 464,THEA,464,,History of Fashion,Survey of dress from Egyptian period to contemporary fashion.,3,3,Prerequisite: THEA 100; THEA 105; THEA 106; DANCE 100; or THEA_MFA,Standard,History of Fashion Survey of dress from Egyptian period to contemporary fashion.,7
8697,8697,THEA 465,THEA,465,,History of Fashion II,"Survey of dress from 1800 to contemporary fashion.  THEA 465 History of Fashion II (3)(BA) This course meets the Bachelor of Arts degree requirements.The course is the second part of the history of fashion that is an elective for graduate theatre students, is required for the B.F.A. Costume Design emphasis, and is an elective for the undergraduate theatre minor. The goal of the course is to identify and examine movements and trends in clothing and fashion from 1800 to the present. Each period is studied by using primary sources, slide presentations, and actual garments to illustrate the relationship between clothing and broad social, historical and artistic developments. Emphasis will be placed on plays that serve as particularly good examples of a period or style of fashion covered in the course. Grading will be based on periodic quizzes covering topics from class lectures, slide presentations, and textbook readings. There will be one oral presentation, a written comprehensive final exam, and assigned graphic presentations or 'redrawings' of clothing pieces. To complete these 'redrawings' the student will find a primary source or a photographic reproduction of a primary source and 'redraw' the garment. For example, a student may find a painting, a sculpture, or photo of a garment (usually on a figure) that represents the period being discussed in class. The student would then 'redraw' or copy that image, not trace, for the purposes of identifying the clothing pieces that are shown in the original. The 'redrawings' are graded not on the student's ability to draw but rather on the content, detail, and thoroughness of the pencil sketch.",3,3,Prerequisite: THEA 100; THEA 105; THEA 106; DANCE 100; or THEA_MFA,Standard,"History of Fashion II Survey of dress from 1800 to contemporary fashion.  THEA 465 History of Fashion II (3)(BA) This course meets the Bachelor of Arts degree requirements.The course is the second part of the history of fashion that is an elective for graduate theatre students, is required for the B.F.A. Costume Design emphasis, and is an elective for the undergraduate theatre minor. The goal of the course is to identify and examine movements and trends in clothing and fashion from 1800 to the present. Each period is studied by using primary sources, slide presentations, and actual garments to illustrate the relationship between clothing and broad social, historical and artistic developments. Emphasis will be placed on plays that serve as particularly good examples of a period or style of fashion covered in the course. Grading will be based on periodic quizzes covering topics from class lectures, slide presentations, and textbook readings. There will be one oral presentation, a written comprehensive final exam, and assigned graphic presentations or 'redrawings' of clothing pieces. To complete these 'redrawings' the student will find a primary source or a photographic reproduction of a primary source and 'redraw' the garment. For example, a student may find a painting, a sculpture, or photo of a garment (usually on a figure) that represents the period being discussed in class. The student would then 'redraw' or copy that image, not trace, for the purposes of identifying the clothing pieces that are shown in the original. The 'redrawings' are graded not on the student's ability to draw but rather on the content, detail, and thoroughness of the pencil sketch.",0
8698,8698,THEA 466,THEA,466,,Costume Construction for Production,Execution of production projects in construction and shop management.,1,1,Prerequisite:  approval of proposed project by instructor prior to   registration,Low,Costume Construction for Production Execution of production projects in construction and shop management.,1
8699,8699,THEA 467,THEA,467,,Costume Design for Production,Design and execution of production design projects.,1,1,Prerequisite:  approval of proposed project by instructor prior to   registration,Low,Costume Design for Production Design and execution of production design projects.,1
8700,8700,THEA 470,THEA,470,,Advanced Topics in Lighting Design,"Advanced Topics in Lighting Design will rotate through opera, dance, non-traditional spaces, architecture, advanced technology, and color theory.  THEA 470 Advanced Topics in Lighting Design (3 per semester/maximum of 6) (BA) This course meets the Bachelor of Arts degree requirements.Advanced Topics in Lighting Design will utilize a rotating curriculum and may be taken twice for credit. Topics will include lighting design for opera, dance, non-traditional spaces, architecture, advanced technology, and color theory. Students will also learn to write and critique their own work, as well as the work of others, and to speak knowledgeably about design topics. There will also be some flexibility to allow students to pursue individual interests and group-directed projects.",3,3,Prerequisite:  THEA 270,Standard,"Advanced Topics in Lighting Design Advanced Topics in Lighting Design will rotate through opera, dance, non-traditional spaces, architecture, advanced technology, and color theory.  THEA 470 Advanced Topics in Lighting Design (3 per semester/maximum of 6) (BA) This course meets the Bachelor of Arts degree requirements.Advanced Topics in Lighting Design will utilize a rotating curriculum and may be taken twice for credit. Topics will include lighting design for opera, dance, non-traditional spaces, architecture, advanced technology, and color theory. Students will also learn to write and critique their own work, as well as the work of others, and to speak knowledgeably about design topics. There will also be some flexibility to allow students to pursue individual interests and group-directed projects.",0
8701,8701,THEA 472,THEA,472,,Lighting Technology,"An introduction to the basics of electricity, dimmer protocols, lightboard programming, lighting paperwork, and master electrician & assistant lighting design practices.  THEA 472 Lighting Technology (3)THEA 472 is an introduction to the basics of electricity, dimmer protocols, lightboard programming, lighting paperwork, and master electrician & assistant lighting design practices. This course will help prepare theatre designers to understand the inner workings of all of the equipment, working practices and safety requirements that are involved with the business of lighting design. This course will also provide students with many of the skills needed to get their foot in the door and get started in the business. Special attention will be paid to safety, stressing the need for safe working practices and environments over the need to get the show up no matter what. Students will learn how all of the advanced technology that is being introduced to the world of lighting functions and how these new technologies are all integrated into a functional system. Students will serve as master electricians and/or as assistant lighting designers as part of the hands-on production aspect of the class, with ample time devoted to process discussions and post-show critiques of the work. Small-group problem solving and system troubleshooting will be discussed in depth and applied to real production situations.",3,3,"Prerequisite: THEA 131, THEA 289",Standard,"Lighting Technology An introduction to the basics of electricity, dimmer protocols, lightboard programming, lighting paperwork, and master electrician & assistant lighting design practices.  THEA 472 Lighting Technology (3)THEA 472 is an introduction to the basics of electricity, dimmer protocols, lightboard programming, lighting paperwork, and master electrician & assistant lighting design practices. This course will help prepare theatre designers to understand the inner workings of all of the equipment, working practices and safety requirements that are involved with the business of lighting design. This course will also provide students with many of the skills needed to get their foot in the door and get started in the business. Special attention will be paid to safety, stressing the need for safe working practices and environments over the need to get the show up no matter what. Students will learn how all of the advanced technology that is being introduced to the world of lighting functions and how these new technologies are all integrated into a functional system. Students will serve as master electricians and/or as assistant lighting designers as part of the hands-on production aspect of the class, with ample time devoted to process discussions and post-show critiques of the work. Small-group problem solving and system troubleshooting will be discussed in depth and applied to real production situations.",3
8702,8702,THEA 476,THEA,476,,Lighting Technology for Production,"THEA 476 is a 1-credit course fulfilling, in part, the requirements of the Theatre BFA Design & Technology Major. Students who are assigned to School of Theatre productions in the Lighting area as an Assistant Master Electrician, Master Electrician, Moving Light Programmer, or Lighting Systems Engineer, in support of the Lighting Design, are eligible to register. The course will be delivered as an independent study with the School's Lighting Design faculty, building on the skills learned in classes and previous productions.",1,1,Prerequisite: THEA 289 CONCURRENTS: THEA 472,Low,"Lighting Technology for Production THEA 476 is a 1-credit course fulfilling, in part, the requirements of the Theatre BFA Design & Technology Major. Students who are assigned to School of Theatre productions in the Lighting area as an Assistant Master Electrician, Master Electrician, Moving Light Programmer, or Lighting Systems Engineer, in support of the Lighting Design, are eligible to register. The course will be delivered as an independent study with the School's Lighting Design faculty, building on the skills learned in classes and previous productions.",1
8703,8703,THEA 477,THEA,477,,Lighting Design for Production,Design and execution of design projects.,1,1,Prerequisite: THEA 289,Low,Lighting Design for Production Design and execution of design projects.,1
8704,8704,THEA 480,THEA,480,,Advanced Topics in Technical Direction for the Theatre,"Advanced study of the methods, materials, equipment, facilities, concepts and processes associated with Technical Direction for the Theatre.  THEA 480 Advanced Topics in Technical Direction for the Theatre (3 per semester/maximum of 6) This course will build on the foundations established in THEA 280. Students will be engaged in studying advanced topics through discussions and explorations of current theatre technology, communication and the management systems used to control the processes associated with modern technical direction. Examples of topics include project management, current trends in drafting, advanced technical packages, and structural design for the stage. This course is repeatable and topics will vary.Students will participate in class discussions, hands-on exploration of equipment, investigate current practices through observation and research, and will complete projects associated with the topics studied.",3,3,Prerequisite:  THEA 280,Standard,"Advanced Topics in Technical Direction for the Theatre Advanced study of the methods, materials, equipment, facilities, concepts and processes associated with Technical Direction for the Theatre.  THEA 480 Advanced Topics in Technical Direction for the Theatre (3 per semester/maximum of 6) This course will build on the foundations established in THEA 280. Students will be engaged in studying advanced topics through discussions and explorations of current theatre technology, communication and the management systems used to control the processes associated with modern technical direction. Examples of topics include project management, current trends in drafting, advanced technical packages, and structural design for the stage. This course is repeatable and topics will vary.Students will participate in class discussions, hands-on exploration of equipment, investigate current practices through observation and research, and will complete projects associated with the topics studied.",4
